"Team_ID","Team_Name","Team_Abbr","3P","3PA","3Per","2P","2PA","2Per","3PA_Per","Season_Win_Per","Year","24+ ft. Atp","Less Than 8 ft. Atp","16-24 ft. Atp","8-16 ft. Atp","Back Court Atp"
1610612760,"Oklahoma City Thunder","OKC",723,1936,0.373,2216,4654,0.476,0.294,0.451,2003,1914,2425,1204,1028,NA
1610612751,"Brooklyn Nets","BKN",377,1123,0.336,2436,5249,0.464,0.176,0.573,2003,1103,2629,1704,917,19
1610612748,"Miami Heat","MIA",485,1357,0.357,2244,5060,0.443,0.211,0.512,2003,1331,2559,1487,1019,NA
1610612753,"Orlando Magic","ORL",429,1248,0.344,2475,5520,0.448,0.184,0.256,2003,1239,2418,1850,1254,NA
1610612750,"Minnesota Timberwolves","MIN",326,897,0.363,2707,5674,0.477,0.137,0.707,2003,876,2014,1979,1683,19
1610612759,"San Antonio Spurs","SAS",408,1140,0.358,2434,5294,0.46,0.177,0.695,2003,1126,2808,1288,1200,NA
1610612738,"Boston Celtics","BOS",553,1599,0.346,2290,4816,0.475,0.249,0.439,2003,1583,2453,1425,939,NA
1610612740,"New Orleans Pelicans","NOP",531,1666,0.319,2241,4939,0.454,0.252,0.5,2003,1651,2508,1379,1053,14
1610612757,"Portland Trail Blazers","POR",381,1102,0.346,2517,5365,0.469,0.17,0.5,2003,1085,2777,1411,1180,NA
1610612755,"Philadelphia 76ers","PHI",339,992,0.342,2343,5268,0.445,0.158,0.402,2003,983,2556,1351,1361,NA
1610612745,"Houston Rockets","HOU",515,1406,0.366,2223,4789,0.464,0.227,0.549,2003,1380,2312,1311,1169,NA
1610612754,"Indiana Pacers","IND",449,1281,0.351,2304,5041,0.457,0.203,0.744,2003,1267,2508,1240,1292,15
1610612749,"Milwaukee Bucks","MIL",401,1145,0.35,2569,5505,0.467,0.172,0.5,2003,1132,2846,1192,1469,NA
1610612761,"Toronto Raptors","TOR",461,1294,0.356,2193,5054,0.434,0.204,0.402,2003,1283,2143,1692,1219,NA
1610612741,"Chicago Bulls","CHI",429,1256,0.342,2369,5497,0.431,0.186,0.28,2003,1239,2547,1744,1206,17
1610612743,"Denver Nuggets","DEN",331,984,0.336,2662,5778,0.461,0.146,0.524,2003,973,2887,1832,1057,13
1610612737,"Atlanta Hawks","ATL",419,1249,0.335,2383,5212,0.457,0.193,0.341,2003,1245,2645,1335,1232,NA
1610612752,"New York Knicks","NYK",406,1115,0.364,2475,5398,0.459,0.171,0.476,2003,1096,2396,1541,1461,NA
1610612747,"Los Angeles Lakers","LAL",365,1115,0.327,2663,5561,0.479,0.167,0.683,2003,1098,2869,1584,1107,18
1610612742,"Dallas Mavericks","DAL",507,1456,0.348,2815,5773,0.488,0.201,0.634,2003,1433,2968,1584,1221,23
1610612764,"Washington Wizards","WAS",434,1270,0.342,2325,5287,0.44,0.194,0.305,2003,1259,2840,1399,1049,NA
1610612744,"Golden State Warriors","GSW",429,1283,0.334,2446,5228,0.468,0.197,0.451,2003,1260,2862,1419,949,21
1610612756,"Phoenix Suns","PHX",415,1202,0.345,2543,5469,0.465,0.18,0.354,2003,1183,2770,1404,1296,NA
1610612746,"LA Clippers","LAC",329,1024,0.321,2488,5555,0.448,0.156,0.341,2003,1009,2977,1436,1143,14
1610612758,"Sacramento Kings","SAC",601,1498,0.401,2502,5213,0.48,0.223,0.671,2003,1478,2559,1903,753,NA
1610612765,"Detroit Pistons","DET",333,968,0.344,2414,5346,0.452,0.153,0.659,2003,960,2794,1128,1424,NA
1610612762,"Utah Jazz","UTA",252,786,0.321,2438,5386,0.453,0.127,0.512,2003,766,2595,2024,776,NA
1610612763,"Memphis Grizzlies","MEM",447,1314,0.34,2516,5343,0.471,0.197,0.61,2003,1284,3185,1268,894,26
1610612739,"Cleveland Cavaliers","CLE",247,786,0.314,2675,5967,0.448,0.116,0.427,2003,771,3010,1326,1630,NA
1610612760,"Oklahoma City Thunder","OKC",666,1824,0.365,2216,4674,0.474,0.281,0.634,2004,1802,2607,1072,997,NA
1610612751,"Brooklyn Nets","BKN",435,1203,0.362,2318,5216,0.444,0.187,0.512,2004,1185,2328,1921,968,NA
1610612748,"Miami Heat","MIA",475,1260,0.377,2622,5108,0.513,0.198,0.72,2004,1247,2750,1393,968,10
1610612753,"Orlando Magic","ORL",320,916,0.349,2714,5763,0.471,0.137,0.439,2004,903,2683,1844,1239,NA
1610612750,"Minnesota Timberwolves","MIN",395,1145,0.345,2650,5484,0.483,0.173,0.537,2004,1129,2122,1885,1477,NA
1610612759,"San Antonio Spurs","SAS",507,1395,0.363,2416,5055,0.478,0.216,0.72,2004,1373,2897,1119,1048,NA
1610612738,"Boston Celtics","BOS",437,1252,0.349,2609,5259,0.496,0.192,0.549,2004,1234,2972,1382,907,NA
1610612740,"New Orleans Pelicans","NOP",415,1316,0.315,2302,5237,0.44,0.201,0.22,2004,1302,2411,1818,1011,NA
1610612757,"Portland Trail Blazers","POR",420,1161,0.362,2476,5261,0.471,0.181,0.329,2004,1143,2950,1371,944,NA
1610612755,"Philadelphia 76ers","PHI",505,1453,0.348,2441,5283,0.462,0.216,0.524,2004,1442,2781,1435,1069,NA
1610612745,"Houston Rockets","HOU",553,1521,0.364,2293,4898,0.468,0.237,0.622,2004,1502,2241,1644,1017,NA
1610612754,"Indiana Pacers","IND",542,1575,0.344,2126,4594,0.463,0.255,0.537,2004,1561,2285,1226,1085,NA
1610612749,"Milwaukee Bucks","MIL",325,925,0.351,2639,5655,0.467,0.141,0.366,2004,913,2792,1472,1392,NA
1610612761,"Toronto Raptors","TOR",648,1681,0.385,2304,4975,0.463,0.253,0.402,2004,1660,2489,1372,1116,NA
1610612741,"Chicago Bulls","CHI",511,1433,0.357,2338,5159,0.453,0.217,0.573,2004,1418,2603,1413,1147,NA
1610612743,"Denver Nuggets","DEN",320,940,0.34,2718,5675,0.479,0.142,0.598,2004,916,2906,1812,958,NA
1610612737,"Atlanta Hawks","ATL",304,973,0.312,2638,5699,0.463,0.146,0.159,2004,950,3236,1359,1104,23
1610612766,"Charlotte Hornets","CHA",320,881,0.363,2641,5978,0.442,0.128,0.22,2004,869,2673,2016,1292,NA
1610612752,"New York Knicks","NYK",441,1240,0.356,2537,5359,0.473,0.188,0.402,2004,1213,2644,1657,1062,NA
1610612747,"Los Angeles Lakers","LAL",644,1813,0.355,2251,4816,0.467,0.273,0.415,2004,1776,2772,1248,799,NA
1610612742,"Dallas Mavericks","DAL",463,1273,0.364,2595,5418,0.479,0.19,0.707,2004,1252,2570,1625,1222,NA
1610612764,"Washington Wizards","WAS",514,1498,0.343,2451,5295,0.463,0.221,0.549,2004,1479,2845,1402,1050,17
1610612744,"Golden State Warriors","GSW",624,1774,0.352,2405,5265,0.457,0.252,0.415,2004,1764,2704,1742,818,NA
1610612756,"Phoenix Suns","PHX",796,2026,0.393,2555,4992,0.512,0.289,0.756,2004,1996,2602,1213,1180,27
1610612746,"LA Clippers","LAC",231,668,0.346,2685,5680,0.473,0.105,0.451,2004,651,2573,1844,1263,NA
1610612758,"Sacramento Kings","SAC",522,1396,0.374,2681,5582,0.48,0.2,0.61,2004,1382,2471,2349,764,NA
1610612765,"Detroit Pistons","DET",363,1053,0.345,2488,5368,0.463,0.164,0.659,2004,1041,2560,1380,1430,NA
1610612762,"Utah Jazz","UTA",250,762,0.328,2578,5539,0.465,0.121,0.317,2004,727,2536,1983,1037,NA
1610612763,"Memphis Grizzlies","MEM",531,1486,0.357,2271,4785,0.475,0.237,0.549,2004,1465,2962,1104,721,NA
1610612739,"Cleveland Cavaliers","CLE",300,904,0.332,2690,5783,0.465,0.135,0.512,2004,898,2888,1555,1338,NA
1610612760,"Oklahoma City Thunder","OKC",605,1631,0.371,2472,5080,0.487,0.243,0.427,2005,1605,2756,1237,1089,NA
1610612751,"Brooklyn Nets","BKN",477,1447,0.33,2301,4870,0.472,0.229,0.598,2005,1421,2435,1624,817,20
1610612748,"Miami Heat","MIA",497,1441,0.345,2542,4914,0.517,0.227,0.634,2005,1418,2956,1124,837,20
1610612753,"Orlando Magic","ORL",299,796,0.376,2612,5371,0.486,0.129,0.439,2005,782,2792,1591,989,NA
1610612750,"Minnesota Timberwolves","MIN",310,942,0.329,2578,5398,0.478,0.149,0.402,2005,917,2360,1928,1113,NA
1610612759,"San Antonio Spurs","SAS",524,1362,0.385,2469,4980,0.496,0.215,0.768,2005,1346,2795,1236,954,NA
1610612738,"Boston Celtics","BOS",467,1290,0.362,2484,5032,0.494,0.204,0.402,2005,1268,2748,1445,842,19
1610612740,"New Orleans Pelicans","NOP",300,885,0.339,2531,5543,0.457,0.138,0.463,2005,874,2772,1715,1056,NA
1610612757,"Portland Trail Blazers","POR",364,1042,0.349,2427,5225,0.464,0.166,0.256,2005,1021,2661,1775,789,21
1610612755,"Philadelphia 76ers","PHI",375,1031,0.364,2626,5515,0.476,0.158,0.463,2005,1017,2839,1442,1237,NA
1610612745,"Houston Rockets","HOU",469,1414,0.332,2239,4838,0.463,0.226,0.415,2005,1398,2417,1408,1018,NA
1610612754,"Indiana Pacers","IND",536,1536,0.349,2250,4738,0.475,0.245,0.5,2005,1520,2422,1242,1073,NA
1610612749,"Milwaukee Bucks","MIL",507,1335,0.38,2469,5231,0.472,0.203,0.488,2005,1330,2946,1260,1026,NA
1610612761,"Toronto Raptors","TOR",608,1620,0.375,2405,5019,0.479,0.244,0.329,2005,1599,2456,1422,1145,17
1610612741,"Chicago Bulls","CHI",560,1477,0.379,2444,5260,0.465,0.219,0.5,2005,1456,2498,1812,953,NA
1610612743,"Denver Nuggets","DEN",350,1076,0.325,2728,5596,0.487,0.161,0.537,2005,1052,2884,1868,845,23
1610612737,"Atlanta Hawks","ATL",424,1154,0.367,2522,5342,0.472,0.178,0.317,2005,1139,2933,1496,912,NA
1610612766,"Charlotte Hornets","CHA",428,1261,0.339,2533,5582,0.454,0.184,0.317,2005,1236,2837,1787,960,23
1610612752,"New York Knicks","NYK",320,884,0.362,2502,5321,0.47,0.142,0.28,2005,864,3134,1270,917,NA
1610612747,"Los Angeles Lakers","LAL",552,1583,0.349,2440,5024,0.486,0.24,0.549,2005,1566,2599,1509,915,NA
1610612742,"Dallas Mavericks","DAL",416,1113,0.374,2532,5262,0.481,0.175,0.732,2005,1090,2461,1390,1411,NA
1610612764,"Washington Wizards","WAS",497,1394,0.357,2478,5262,0.471,0.209,0.512,2005,1380,2797,1646,821,NA
1610612744,"Golden State Warriors","GSW",625,1832,0.341,2314,4953,0.467,0.27,0.415,2005,1813,2802,1438,717,NA
1610612756,"Phoenix Suns","PHX",837,2097,0.399,2593,5070,0.511,0.293,0.659,2005,2083,2213,1865,993,NA
1610612746,"LA Clippers","LAC",290,843,0.344,2703,5600,0.483,0.131,0.573,2005,825,2381,1557,1663,NA
1610612758,"Sacramento Kings","SAC",494,1408,0.351,2460,5092,0.483,0.217,0.537,2005,1398,2439,2040,609,NA
1610612765,"Detroit Pistons","DET",557,1451,0.384,2426,5107,0.475,0.221,0.78,2005,1447,2122,1629,1354,NA
1610612762,"Utah Jazz","UTA",311,925,0.336,2433,5282,0.461,0.149,0.5,2005,907,2614,1847,826,13
1610612763,"Memphis Grizzlies","MEM",590,1578,0.374,2156,4547,0.474,0.258,0.598,2005,1564,2733,1090,727,NA
1610612739,"Cleveland Cavaliers","CLE",497,1465,0.339,2411,4947,0.487,0.228,0.61,2005,1447,2814,1264,869,NA
1610612760,"Oklahoma City Thunder","OKC",525,1451,0.362,2522,5177,0.487,0.219,0.378,2006,1432,2848,1127,1204,NA
1610612751,"Brooklyn Nets","BKN",609,1676,0.363,2304,4703,0.49,0.263,0.5,2006,1660,2547,1530,629,NA
1610612748,"Miami Heat","MIA",528,1539,0.343,2391,4749,0.503,0.245,0.537,2006,1516,2608,1330,817,NA
1610612753,"Orlando Magic","ORL",342,962,0.356,2533,5128,0.494,0.158,0.488,2006,951,2847,1372,912,NA
1610612750,"Minnesota Timberwolves","MIN",384,1089,0.353,2613,5413,0.483,0.167,0.39,2006,1056,2334,1980,1101,31
1610612759,"San Antonio Spurs","SAS",595,1561,0.381,2404,4767,0.504,0.247,0.707,2006,1545,2572,1294,907,NA
1610612738,"Boston Celtics","BOS",471,1283,0.367,2387,5171,0.462,0.199,0.293,2006,1263,2803,1487,882,19
1610612740,"New Orleans Pelicans","NOP",455,1256,0.362,2516,5418,0.464,0.188,0.476,2006,1245,2950,1442,1028,NA
1610612757,"Portland Trail Blazers","POR",426,1232,0.346,2448,5160,0.474,0.193,0.39,2006,1197,2714,1618,832,NA
1610612755,"Philadelphia 76ers","PHI",284,823,0.345,2648,5585,0.474,0.128,0.427,2006,802,2588,1676,1322,NA
1610612745,"Houston Rockets","HOU",705,1893,0.372,2201,4635,0.475,0.29,0.634,2006,1881,2457,1211,970,9
1610612754,"Indiana Pacers","IND",481,1389,0.346,2391,5172,0.462,0.212,0.427,2006,1368,2538,1399,1235,21
1610612749,"Milwaukee Bucks","MIL",524,1472,0.356,2597,5242,0.495,0.219,0.341,2006,1459,3103,1228,914,NA
1610612761,"Toronto Raptors","TOR",531,1464,0.363,2501,5083,0.492,0.224,0.573,2006,1447,2293,1789,1002,16
1610612741,"Chicago Bulls","CHI",480,1237,0.388,2566,5426,0.473,0.186,0.598,2006,1217,2460,1966,1002,NA
1610612743,"Denver Nuggets","DEN",484,1440,0.336,2680,5365,0.5,0.212,0.549,2006,1416,3074,1457,837,NA
1610612737,"Atlanta Hawks","ATL",341,1038,0.329,2490,5334,0.467,0.163,0.366,2006,1024,2719,1875,743,NA
1610612766,"Charlotte Hornets","CHA",457,1280,0.357,2503,5363,0.467,0.193,0.402,2006,1262,2855,1658,854,14
1610612752,"New York Knicks","NYK",474,1370,0.346,2429,4986,0.487,0.216,0.402,2006,1346,3186,1149,654,NA
1610612747,"Los Angeles Lakers","LAL",608,1724,0.353,2495,4940,0.505,0.259,0.512,2006,1700,2806,1312,825,NA
1610612742,"Dallas Mavericks","DAL",535,1404,0.381,2475,5038,0.491,0.218,0.817,2006,1381,2208,1586,1248,NA
1610612764,"Washington Wizards","WAS",561,1614,0.348,2509,5206,0.482,0.237,0.5,2006,1600,2664,1830,711,15
1610612744,"Golden State Warriors","GSW",700,1966,0.356,2561,5082,0.504,0.279,0.512,2006,1947,3200,1213,669,NA
1610612756,"Phoenix Suns","PHX",785,1965,0.399,2603,4890,0.532,0.287,0.744,2006,1948,2573,1386,932,NA
1610612746,"LA Clippers","LAC",314,903,0.348,2566,5415,0.474,0.143,0.488,2006,886,2271,1608,1534,NA
1610612758,"Sacramento Kings","SAC",530,1513,0.35,2411,5019,0.48,0.232,0.402,2006,1504,2625,1668,726,NA
1610612765,"Detroit Pistons","DET",449,1305,0.344,2493,5179,0.481,0.201,0.646,2006,1290,2345,1402,1433,14
1610612762,"Utah Jazz","UTA",354,1056,0.335,2715,5415,0.501,0.163,0.622,2006,1039,2844,1667,906,NA
1610612763,"Memphis Grizzlies","MEM",500,1362,0.367,2498,5086,0.491,0.211,0.268,2006,1338,2912,1334,842,NA
1610612739,"Cleveland Cavaliers","CLE",494,1404,0.352,2484,5254,0.473,0.211,0.61,2006,1387,2772,1423,1060,16
1610612760,"Oklahoma City Thunder","OKC",313,939,0.333,2812,6093,0.462,0.134,0.244,2007,930,2814,1948,1334,NA
1610612751,"Brooklyn Nets","BKN",498,1430,0.348,2358,5020,0.47,0.222,0.415,2007,1402,2645,1650,724,NA
1610612748,"Miami Heat","MIA",491,1373,0.358,2317,4963,0.467,0.217,0.183,2007,1353,2210,1866,889,NA
1610612753,"Orlando Magic","ORL",801,2074,0.386,2257,4372,0.516,0.322,0.634,2007,2052,2651,849,874,NA
1610612750,"Minnesota Timberwolves","MIN",441,1259,0.35,2635,5558,0.474,0.185,0.268,2007,1227,2981,1403,1174,NA
1610612759,"San Antonio Spurs","SAS",594,1610,0.369,2344,4814,0.487,0.251,0.683,2007,1584,2347,1471,1009,NA
1610612738,"Boston Celtics","BOS",596,1564,0.381,2390,4722,0.506,0.249,0.805,2007,1548,2572,1326,822,NA
1610612740,"New Orleans Pelicans","NOP",630,1621,0.389,2534,5175,0.49,0.239,0.683,2007,1608,2548,1545,1084,11
1610612757,"Portland Trail Blazers","POR",538,1426,0.377,2397,5120,0.468,0.218,0.5,2007,1386,1991,2035,1099,35
1610612755,"Philadelphia 76ers","PHI",302,952,0.317,2754,5696,0.483,0.143,0.488,2007,919,2913,1506,1277,33
